fips,county,designation_year,state,population,aqcr_min,total_emp_CBP,dmfg_emp
1001,Autauga County,1972,Alabama,27166,2,3106,0
1001,Autauga County,1978,Alabama,30882,2,5323,604.93036
1003,Baldwin County,1972,Alabama,62435,5,9492,558
1003,Baldwin County,1978,Alabama,74550,5,13725,601.47791
1005,Barbour County,1972,Alabama,22854,6,4620,820
1005,Barbour County,1978,Alabama,24524,6,5711,1004.1976
1007,Bibb County,1972,Alabama,14097,4,1996,612
1007,Bibb County,1978,Alabama,15355,4,2499,365.14145
1009,Blount County,1972,Alabama,29296,4,3377,100
1009,Blount County,1978,Alabama,34845,4,3822,193.86348
1011,Bullock County,1972,Alabama,11443,2,1465,44
1011,Bullock County,1978,Alabama,10954,2,1873,94.774918
1013,Butler County,1972,Alabama,21530,2,4360,1013
1013,Butler County,1978,Alabama,20911,2,5060,911.76941
1015,Calhoun County,1972,Alabama,103846,3,23856,6296
1015,Calhoun County,1978,Alabama,116474,3,27191,4568.8843
1017,Chambers County,1972,Alabama,36087,3,12125,166
1017,Chambers County,1978,Alabama,38734,3,12545,110.5563
1019,Cherokee County,1972,Alabama,16860,3,1837,82
1019,Cherokee County,1978,Alabama,18590,3,2596,90.569931
1021,Chilton County,1972,Alabama,26442,4,3001,403
1021,Chilton County,1978,Alabama,29926,4,3728,572.76178
1023,Choctaw County,1972,Alabama,16689,1,3768,908
1023,Choctaw County,1978,Alabama,16931,1,4200,1391.5303
1025,Clarke County,1972,Alabama,26280,1,5421,1609
1025,Clarke County,1978,Alabama,28360,1,6303,1181.0597
1027,Clay County,1972,Alabama,13240,3,1836,347
1027,Clay County,1978,Alabama,13697,3,2613,384.65991
1029,Cleburne County,1972,Alabama,11384,3,1014,307
1029,Cleburne County,1978,Alabama,12217,3,1493,183.54468
1031,Coffee County,1972,Alabama,36171,6,8087,3359
1031,Coffee County,1978,Alabama,37450,6,8520,1781.9977
1033,Colbert County,1972,Alabama,50720,7,13979,1839
1033,Colbert County,1978,Alabama,53323,7,18492,2835.344
1035,Conecuh County,1972,Alabama,15796,1,2309,452
1035,Conecuh County,1978,Alabama,15811,1,2978,332.86481
1037,Coosa County,1972,Alabama,10852,3,1072,218
1037,Coosa County,1978,Alabama,11652,3,1380,313.9678
1039,Covington County,1972,Alabama,34986,6,9790,499
1039,Covington County,1978,Alabama,36492,6,10623,412.53195
1041,Crenshaw County,1972,Alabama,13504,2,2034,285
1041,Crenshaw County,1978,Alabama,13909,2,2141,187.08478
1043,Cullman County,1972,Alabama,55776,7,9227,1081
1043,Cullman County,1978,Alabama,61079,7,12535,1602.0515
1045,Dale County,1972,Alabama,49452,6,7572,173
1045,Dale County,1978,Alabama,46666,6,6846,238.9295
1047,Dallas County,1972,Alabama,57140,1,12474,1059
1047,Dallas County,1978,Alabama,54711,1,13951,1931.7247
1049,De Kalb County,1972,Alabama,44799,7,6400,523
1049,De Kalb County,1978,Alabama,53109,7,9734,1269.6902
1051,Elmore County,1972,Alabama,35356,2,3188,219
1051,Elmore County,1978,Alabama,41386,2,4640,245.79674
1053,Escambia County,1972,Alabama,36517,5,7365,1554
1053,Escambia County,1978,Alabama,37558,5,8497,1717.4121
1055,Etowah County,1972,Alabama,95758,3,23073,8668
1055,Etowah County,1978,Alabama,101731,3,28076,6270.0337
1057,Fayette County,1972,Alabama,16395,4,2958,385
1057,Fayette County,1978,Alabama,17783,4,4668,517.44495
1059,Franklin County,1972,Alabama,25530,7,4244,403
1059,Franklin County,1978,Alabama,27918,7,5644,911.23743
1061,Geneva County,1972,Alabama,22784,6,3301,0
1061,Geneva County,1978,Alabama,23564,6,3923,345.74445
1063,Greene County,1972,Alabama,10231,4,949,90
1063,Greene County,1978,Alabama,10957,4,1552,23.613329
1065,Hale County,1972,Alabama,15756,4,1479,0
1065,Hale County,1978,Alabama,15702,4,1298,32.532093
1067,Henry County,1972,Alabama,13528,6,2265,401
1067,Henry County,1978,Alabama,14921,6,3169,257.59485
