fips,aqcr,aqcr_state,county,state,na78_co,na78_ox,na78_so2,na78_tsp,na72_tsp,na72_co,na72_so2,na72_ox,GEOID
1023,1,1,Choctaw County,Alabama,0,0,0,0,0,0,0,0,1023
1025,1,1,Clarke County,Alabama,0,0,0,0,0,0,0,0,1025
1035,1,1,Conecuh County,Alabama,0,0,0,0,0,0,0,0,1035
1047,1,1,Dallas County,Alabama,0,0,0,0,0,0,0,0,1047
1091,1,1,Marengo County,Alabama,0,0,0,0,0,0,0,0,1091
1099,1,1,Monroe County,Alabama,0,0,0,0,0,0,0,0,1099
1105,1,1,Perry County,Alabama,0,0,0,0,0,0,0,0,1105
1129,1,1,Washington County,Alabama,0,0,0,0,0,0,0,0,1129
1131,1,1,Wilcox County,Alabama,0,0,0,0,0,0,0,0,1131
1001,2,2,Autauga County,Alabama,0,0,0,0,1,0,0,0,1001
1011,2,2,Bullock County,Alabama,0,0,0,0,1,0,0,0,1011
1013,2,2,Butler County,Alabama,0,0,0,0,1,0,0,0,1013
1041,2,2,Crenshaw County,Alabama,0,0,0,0,1,0,0,0,1041
1051,2,2,Elmore County,Alabama,0,0,0,0,1,0,0,0,1051
1081,2,2,Lee County,Alabama,0,0,0,0,1,0,0,0,1081
1085,2,2,Lowndes County,Alabama,0,0,0,0,1,0,0,0,1085
1087,2,2,Macon County,Alabama,0,0,0,0,1,0,0,0,1087
1101,2,2,Montgomery County,Alabama,0,0,0,0,1,0,0,0,1101
1109,2,2,Pike County,Alabama,0,0,0,0,1,0,0,0,1109
1113,2,2,Russell County,Alabama,0,1,0,0,1,0,0,0,1113
13053,2,3,Chattahoochee County,Georgia,0,0,0,0,1,0,0,0,13053
13093,2,3,Dooly County,Georgia,0,0,0,0,1,0,0,0,13093
13145,2,3,Harris County,Georgia,0,0,0,0,1,0,0,0,13145
13197,2,3,Marion County,Georgia,0,0,0,0,1,0,0,0,13197
13215,2,3,Muscogee County,Georgia,0,1,0,0,1,0,0,0,13215
13239,2,3,Quitman County,Georgia,0,0,0,0,1,0,0,0,13239
13249,2,3,Schley County,Georgia,0,0,0,0,1,0,0,0,13249
13259,2,3,Stewart County,Georgia,0,0,0,0,1,0,0,0,13259
13261,2,3,Sumter County,Georgia,0,0,0,0,1,0,0,0,13261
13263,2,3,Talbot County,Georgia,0,0,0,0,1,0,0,0,13263
13269,2,3,Taylor County,Georgia,0,0,0,0,1,0,0,0,13269
13307,2,3,Webster County,Georgia,0,0,0,0,1,0,0,0,13307
1015,3,4,Calhoun County,Alabama,0,0,0,0,1,0,0,0,1015
1017,3,4,Chambers County,Alabama,0,0,0,0,1,0,0,0,1017
1019,3,4,Cherokee County,Alabama,0,0,0,0,1,0,0,0,1019
1027,3,4,Clay County,Alabama,0,0,0,0,1,0,0,0,1027
1029,3,4,Cleburne County,Alabama,0,0,0,0,1,0,0,0,1029
1037,3,4,Coosa County,Alabama,0,0,0,0,1,0,0,0,1037
1055,3,4,Etowah County,Alabama,0,0,0,1,1,0,0,0,1055
1111,3,4,Randolph County,Alabama,0,0,0,0,1,0,0,0,1111
1121,3,4,Talladega County,Alabama,0,0,0,0,1,0,0,0,1121
1123,3,4,Tallapoosa County,Alabama,0,0,0,0,1,0,0,0,1123
1007,4,5,Bibb County,Alabama,0,0,0,0,1,1,0,1,1007
1009,4,5,Blount County,Alabama,0,0,0,0,1,1,0,1,1009
1021,4,5,Chilton County,Alabama,0,0,0,0,1,1,0,1,1021
1057,4,5,Fayette County,Alabama,0,0,0,0,1,1,0,1,1057
1063,4,5,Greene County,Alabama,0,0,0,0,1,1,0,1,1063
1065,4,5,Hale County,Alabama,0,0,0,0,1,1,0,1,1065
1073,4,5,Jefferson County,Alabama,0,1,0,1,1,1,0,1,1073
